matrix_type,component_category,component_maker,component_name,component_mm,component_extra,case_model,case_maker,case_form_factor,case_limit_mm,margin_mm,verdict
GPU×ケース,gpu,asus,ROG Matrix Platinum GeForce RTX™ 5090 - ASUS Graphics Cards 30th Anniversary Edition,370,"TDP:1200W conn:1x16-pin,Graphicscardhigh-power(GC-HPWR)goldfinger",NZXT H510,nzxt,ATX,381,11,WARNING
GPU×ケース,gpu,asus,ROG Matrix Platinum GeForce RTX™ 5090 - ASUS Graphics Cards 30th Anniversary Edition,370,"TDP:1200W conn:1x16-pin,Graphicscardhigh-power(GC-HPWR)goldfinger",NZXT H200i,nzxt,Mini-ITX,328,-42,NG
GPU×ケース,gpu,asus,ROG Matrix Platinum GeForce RTX™ 5090 - ASUS Graphics Cards 30th Anniversary Edition,370,"TDP:1200W conn:1x16-pin,Graphicscardhigh-power(GC-HPWR)goldfinger",NZXT H9 Flow,nzxt,ATX,385,15,WARNING
GPU×ケース,gpu,asus,ROG Matrix Platinum GeForce RTX™ 5090 - ASUS Graphics Cards 30th Anniversary Edition,370,"TDP:1200W conn:1x16-pin,Graphicscardhigh-power(GC-HPWR)goldfinger",NZXT H3 Flow,nzxt,ATX,380,10,WARNING
GPU×ケース,gpu,asus,ROG Matrix Platinum GeForce RTX™ 5090 - ASUS Graphics Cards 30th Anniversary Edition,370,"TDP:1200W conn:1x16-pin,Graphicscardhigh-power(GC-HPWR)goldfinger",NZXT H2 Flow,nzxt,Mini-ITX,340,-30,NG
GPU×ケース,gpu,asus,ROG Astral GeForce RTX™ 5080 16GB GDDR7 OC HATSUNE MIKU EDITION,357,TDP:NoneW conn:1x16-pin,NZXT H510,nzxt,ATX,381,24,WARNING
GPU×ケース,gpu,asus,ROG Astral GeForce RTX™ 5080 16GB GDDR7 OC HATSUNE MIKU EDITION,357,TDP:NoneW conn:1x16-pin,NZXT H200i,nzxt,Mini-ITX,328,-29,NG
GPU×ケース,gpu,asus,ROG Astral GeForce RTX™ 5080 16GB GDDR7 OC HATSUNE MIKU EDITION,357,TDP:NoneW conn:1x16-pin,NZXT H9 Flow,nzxt,ATX,385,28,WARNING
GPU×ケース,gpu,asus,ROG Astral GeForce RTX™ 5080 16GB GDDR7 OC HATSUNE MIKU EDITION,357,TDP:NoneW conn:1x16-pin,NZXT H3 Flow,nzxt,ATX,380,23,WARNING
GPU×ケース,gpu,asus,ROG Astral GeForce RTX™ 5080 16GB GDDR7 OC HATSUNE MIKU EDITION,357,TDP:NoneW conn:1x16-pin,NZXT H2 Flow,nzxt,Mini-ITX,340,-17,NG
GPU×ケース,gpu,asus,ASUS TUF Gaming Radeon™ RX 9070 XT COD BO7 Special Edition,330,TDP:850W conn:8pinx3,NZXT H510,nzxt,ATX,381,51,OK
GPU×ケース,gpu,asus,ASUS TUF Gaming Radeon™ RX 9070 XT COD BO7 Special Edition,330,TDP:850W conn:8pinx3,NZXT H200i,nzxt,Mini-ITX,328,-2,NG
GPU×ケース,gpu,asus,ASUS TUF Gaming Radeon™ RX 9070 XT COD BO7 Special Edition,330,TDP:850W conn:8pinx3,NZXT H9 Flow,nzxt,ATX,385,55,OK
GPU×ケース,gpu,asus,ASUS TUF Gaming Radeon™ RX 9070 XT COD BO7 Special Edition,330,TDP:850W conn:8pinx3,NZXT H3 Flow,nzxt,ATX,380,50,OK
GPU×ケース,gpu,asus,ASUS TUF Gaming Radeon™ RX 9070 XT COD BO7 Special Edition,330,TDP:850W conn:8pinx3,NZXT H2 Flow,nzxt,Mini-ITX,340,10,WARNING
