matrix_type,component_category,component_maker,component_name,component_mm,component_extra,case_model,case_maker,case_form_factor,case_limit_mm,margin_mm,verdict
CPUクーラー×ケース,cpu_cooler,noctua,NH-D15 G2,168,fan:140mm,NZXT H510,nzxt,ATX,165,-3,NG
CPUクーラー×ケース,cpu_cooler,noctua,NH-D15 G2,168,fan:140mm,NZXT H3 Flow,nzxt,ATX,165,-3,NG
CPUクーラー×ケース,cpu_cooler,noctua,NH-D15 G2 chromax.black,168,fan:140mm,NZXT H510,nzxt,ATX,165,-3,NG
CPUクーラー×ケース,cpu_cooler,noctua,NH-D15 G2 chromax.black,168,fan:140mm,NZXT H3 Flow,nzxt,ATX,165,-3,NG
CPUクーラー×ケース,cpu_cooler,noctua,NH-D15,168,fan:140mm,NZXT H510,nzxt,ATX,165,-3,NG
CPUクーラー×ケース,cpu_cooler,noctua,NH-D15,168,fan:140mm,NZXT H3 Flow,nzxt,ATX,165,-3,NG
CPUクーラー×ケース,cpu_cooler,noctua,NH-D15 chromax.black,168,fan:140mm,NZXT H510,nzxt,ATX,165,-3,NG
CPUクーラー×ケース,cpu_cooler,noctua,NH-D15 chromax.black,168,fan:140mm,NZXT H3 Flow,nzxt,ATX,165,-3,NG
CPUクーラー×ケース,cpu_cooler,noctua,NH-D15 G2,168,fan:140mm,NZXT H200i,nzxt,Mini-ITX,167,-1,NG
CPUクーラー×ケース,cpu_cooler,noctua,NH-D15 G2,168,fan:140mm,NZXT H2 Flow,nzxt,Mini-ITX,167,-1,NG
CPUクーラー×ケース,cpu_cooler,noctua,NH-D15 G2 chromax.black,168,fan:140mm,NZXT H200i,nzxt,Mini-ITX,167,-1,NG
CPUクーラー×ケース,cpu_cooler,noctua,NH-D15 G2 chromax.black,168,fan:140mm,NZXT H2 Flow,nzxt,Mini-ITX,167,-1,NG
CPUクーラー×ケース,cpu_cooler,noctua,NH-D15,168,fan:140mm,NZXT H200i,nzxt,Mini-ITX,167,-1,NG
CPUクーラー×ケース,cpu_cooler,noctua,NH-D15,168,fan:140mm,NZXT H2 Flow,nzxt,Mini-ITX,167,-1,NG
CPUクーラー×ケース,cpu_cooler,noctua,NH-D15 chromax.black,168,fan:140mm,NZXT H200i,nzxt,Mini-ITX,167,-1,NG
